experiment_id,created_at,strategy_name,timeframe,universe_label,timerange,trades,profit_total_pct,profit_factor,max_drawdown_pct,status,split_label,idea_spec_id,robustness_score,robustness_flags,notes_short
20260220T110343Z_strat03rsibbmeanreversion-v3c_1h_top10,2026-02-20T11:03:43+00:00,Strat03RSIBBMeanReversion_v3c,1h,top10,20250101-20260201,22,0.07948262199999996,1.1873360457101463,0.3395007950000035,success,,,,,PF > 1 con pocos trades: evidencia estadística limitada. pairs=10
20260220T111132Z_strat03rsibbmeanreversion-v3c_1h_top10,2026-02-20T11:11:32+00:00,Strat03RSIBBMeanReversion_v3c,1h,top10,20250101-20260201,22,0.07948262199999996,1.1873360457101463,0.3395007950000035,success,,,,,PF>1 low trades; pairs=10
20260220T113326Z_strat03rsibbmeanreversion-v3c_1h_top20,2026-02-20T11:33:26+00:00,Strat03RSIBBMeanReversion_v3c,1h,top20,20250101-20260201,43,0.15611712600000002,1.2164235838181934,0.21763206221214987,success,,,,,PF>1; pairs=20
20260220T115817Z_strat06volcompressionbreakout-v1_1h_top10,2026-02-20T11:58:17+00:00,Strat06VolCompressionBreakout_v1,1h,top10,20250101-20260201,213,-2.012635378,0.6089783919773005,2.1735815674820858,success,,,,,PF<1; pairs=10
20260220T115817Z_strat07donchianpullbacktrend-v1_1h_top10,2026-02-20T11:58:17+00:00,Strat07DonchianPullbackTrend_v1,1h,top10,20250101-20260201,249,-3.182147101,0.5187590137982752,3.2642370755931434,success,,,,,PF<1; pairs=10
20260220T120453Z_strat16dailyregimehourlypullback-v1_1h_top10,2026-02-20T12:04:53+00:00,Strat16DailyRegimeHourlyPullback_v1,1h,top10,20250101-20260201,814,-5.917034426,0.6353822838343364,5.964355832000001,success,,,,,PF<1; pairs=10
20260220T121013Z_strat03rsibbmeanreversion-v3c_30m_top10,2026-02-20T12:10:13+00:00,Strat03RSIBBMeanReversion_v3c,30m,top10,20250101-20260201,48,-0.649737781,0.1682442797393629,0.6650744450000048,success,,,,,PF<1; pairs=10
20260220T123024Z_strat17htftrendltfreversion-v1_1h_top10,2026-02-20T12:30:24+00:00,Strat17HTFTrendLTFReversion_v1,1h,top10,20250101-20260201,809,-6.865219531999999,0.530081391044602,6.904643583000006,success,,,,,PF<1; pairs=10
20260220T124508Z_strat18rsibbregimereclaim-v1_1h_top10,2026-02-20T12:45:08+00:00,Strat18RSIBBRegimeReclaim_v1,1h,top10,20250101-20260201,0,0.0,,0.0,partial,,,,,PF missing; pairs=10
20260220T124521Z_strat18rsibbregimereclaim-v1_1h_top10,2026-02-20T12:45:21+00:00,Strat18RSIBBRegimeReclaim_v1,1h,top10,20250101-20260201,184,-1.16084009,0.602440506456234,1.2815160971160988,success,,,,,PF<1; pairs=10
20260220T143206Z_strat03rsibbmeanreversion-v3c_1h_top10-universal,2026-02-20T14:32:06+00:00,Strat03RSIBBMeanReversion_v3c,1h,top10_universal,20250101-20260201,27,0.048288500000000005,1.1180715294703052,0.32419914099999686,success,,,,,PF>1 low trades; pairs=10
20260220T143206Z_strat03rsibbmeanreversion-v3c_1h_top10-mr1h,2026-02-20T14:32:06+00:00,Strat03RSIBBMeanReversion_v3c,1h,top10_mr1h,20250101-20260201,19,0.068273134,1.3254984288306109,0.17522529200000464,success,,,,,PF>1 low trades; pairs=9
20260220T143206Z_strat03rsibbmeanreversion-v3c_1h_top20-mr1h,2026-02-20T14:32:06+00:00,Strat03RSIBBMeanReversion_v3c,1h,top20_mr1h,20250101-20260201,34,0.16035472100000003,1.2988653892307762,0.3148338930000023,success,,,,,PF>1; pairs=18
20260220T144629Z_strat03rsibbmeanreversion-v3c_1h_top20-mr1h-effective,2026-02-20T14:46:29+00:00,Strat03RSIBBMeanReversion_v3c,1h,top20_mr1h_effective,20250601-20250930,8,0.084542069,1.5448070819217712,0.08340514870044786,success,WF_A_TEST,,,,PF>1 low trades; pairs=19
20260220T144629Z_strat03rsibbmeanreversion-v3c_1h_top20-mr1h-effective,2026-02-20T14:46:29+00:00,Strat03RSIBBMeanReversion_v3c,1h,top20_mr1h_effective,20250901-20251231,8,0.11142269799999999,1.851248766294073,0.08346722700000554,success,WF_B_TEST,,,,PF>1 low trades; pairs=19
20260220T144629Z_strat03rsibbmeanreversion-v3c_1h_top20-mr1h-effective,2026-02-20T14:46:29+00:00,Strat03RSIBBMeanReversion_v3c,1h,top20_mr1h_effective,20251101-20260201,4,0.238996631,0.0,0.0,success,WF_C_TEST,,,,PF<1; pairs=19
20260220T144656Z_strat03rsibbmeanreversion-v3c_1h_top20-mr1h-effective-wf-a,2026-02-20T14:46:56+00:00,Strat03RSIBBMeanReversion_v3c,1h,top20_mr1h_effective_WF_A,20250601-20250930,8,0.084542069,1.5448070819217712,0.08340514870044786,success,WF_A_TEST,,,,PF>1 low trades; pairs=19
20260220T144656Z_strat03rsibbmeanreversion-v3c_1h_top20-mr1h-effective-wf-b,2026-02-20T14:46:56+00:00,Strat03RSIBBMeanReversion_v3c,1h,top20_mr1h_effective_WF_B,20250901-20251231,8,0.11142269799999999,1.851248766294073,0.08346722700000554,success,WF_B_TEST,,,,PF>1 low trades; pairs=19
20260220T144656Z_strat03rsibbmeanreversion-v3c_1h_top20-mr1h-effective-wf-c,2026-02-20T14:46:56+00:00,Strat03RSIBBMeanReversion_v3c,1h,top20_mr1h_effective_WF_C,20251101-20260201,4,0.238996631,0.0,0.0,success,WF_C_TEST,,,,PF<1; pairs=19
20260220T144656Z_strat03rsibbmeanreversion-v3c_1h_top10-mr1h-effective-wf-a,2026-02-20T14:46:56+00:00,Strat03RSIBBMeanReversion_v3c,1h,top10_mr1h_effective_WF_A,20250601-20250930,5,0.134363751,3.949693628775965,0.045551765000004706,success,WF_A_TEST,,,,PF>1 low trades; pairs=10
20260220T144656Z_strat03rsibbmeanreversion-v3c_1h_top10-mr1h-effective-wf-b,2026-02-20T14:46:56+00:00,Strat03RSIBBMeanReversion_v3c,1h,top10_mr1h_effective_WF_B,20250901-20251231,3,0.123516844,0.0,0.0,success,WF_B_TEST,,,,PF<1; pairs=10
20260220T144657Z_strat03rsibbmeanreversion-v3c_1h_top10-mr1h-effective-wf-c,2026-02-20T14:46:57+00:00,Strat03RSIBBMeanReversion_v3c,1h,top10_mr1h_effective_WF_C,20251101-20260201,0,0.0,0.0,0.0,success,WF_C_TEST,,,,PF<1; pairs=10
20260220T150748Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective,2026-02-20T15:07:48+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective,20250101-20260201,27,0.18315285199999998,1.5490820965293062,0.24595993499999624,success,,,,,PF>1 low trades; pairs=15
20260220T150749Z_strat03rsibbmeanreversion-v3c_1h_top20-mr1h-effective,2026-02-20T15:07:49+00:00,Strat03RSIBBMeanReversion_v3c,1h,top20_mr1h_effective,20251001-20260201,9,0.29654948200000003,11.73846559859274,0.027611884338650566,success,WF5_TEST,,,,PF>1 low trades; OOS pass; pairs=19
20260220T150749Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective-fee-base,2026-02-20T15:07:49+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective_fee_base,20250101-20260201,27,0.18315285199999998,1.5490820965293062,0.24595993499999624,success,,,,,PF>1 low trades; pairs=15
20260220T150749Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective-fee-p50,2026-02-20T15:07:49+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective_fee_p50,20250101-20260201,27,0.025078504,1.0648121831823227,0.28173773400000074,success,,,,,PF>1 low trades; pairs=15
20260220T150810Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective,2026-02-20T15:08:10+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective,20250201-20250531,11,0.002828138999999996,1.0186878048566783,0.13055290099999864,success,WF1_TEST,,,,PF>1 low trades; OOS pass; pairs=15
20260220T150810Z_strat03rsibbmeanreversion-v3c_1h_top20-mr1h-effective,2026-02-20T15:08:10+00:00,Strat03RSIBBMeanReversion_v3c,1h,top20_mr1h_effective,20250201-20250531,12,-0.052027460999999976,0.7476742865362949,0.1854085009999949,success,WF1_TEST,,,,PF<1; OOS fail; pairs=19
20260220T150811Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective,2026-02-20T15:08:11+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective,20250401-20250731,12,0.073494751,1.5224435567293062,0.0743400700000052,success,WF2_TEST,,,,PF>1 low trades; OOS pass; pairs=15
20260220T150811Z_strat03rsibbmeanreversion-v3c_1h_top20-mr1h-effective,2026-02-20T15:08:11+00:00,Strat03RSIBBMeanReversion_v3c,1h,top20_mr1h_effective,20250401-20250731,12,0.073494751,1.5224435567293062,0.0743400700000052,success,WF2_TEST,,,,PF>1 low trades; OOS pass; pairs=19
20260220T150811Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective,2026-02-20T15:08:11+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective,20250601-20250930,5,0.134363751,3.949693628775965,0.045551765000004706,success,WF3_TEST,,,,PF>1 low trades; OOS pass; pairs=15
20260220T150811Z_strat03rsibbmeanreversion-v3c_1h_top20-mr1h-effective,2026-02-20T15:08:11+00:00,Strat03RSIBBMeanReversion_v3c,1h,top20_mr1h_effective,20250601-20250930,8,0.084542069,1.5448070819217712,0.08340514870044786,success,WF3_TEST,,,,PF>1 low trades; OOS pass; pairs=19
20260220T150811Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective,2026-02-20T15:08:11+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective,20250801-20251130,5,0.16222588000000002,8.628056613532705,0.021238652400239585,success,WF4_TEST,,,,PF>1 low trades; OOS pass; pairs=15
20260220T150811Z_strat03rsibbmeanreversion-v3c_1h_top20-mr1h-effective,2026-02-20T15:08:11+00:00,Strat03RSIBBMeanReversion_v3c,1h,top20_mr1h_effective,20250801-20251130,8,0.11240419800000001,1.8587472444238846,0.0834171966720993,success,WF4_TEST,,,,PF>1 low trades; OOS pass; pairs=19
20260220T150811Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective,2026-02-20T15:08:11+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective,20251001-20260201,6,0.18295356599999998,9.60269741853576,0.02126411620861697,success,WF5_TEST,,,,PF>1 low trades; OOS pass; pairs=15
20260220T150811Z_strat03rsibbmeanreversion-v3c_1h_top20-mr1h-effective,2026-02-20T15:08:11+00:00,Strat03RSIBBMeanReversion_v3c,1h,top20_mr1h_effective,20251001-20260201,9,0.29654948200000003,11.73846559859274,0.027611884338650566,success,WF5_TEST,,,,PF>1 low trades; OOS pass; pairs=19
20260220T150811Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective,2026-02-20T15:08:11+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective,20250301-20250630,12,-0.018656114000000005,0.89204907529222,0.13055290099999864,success,WF6_TEST,,,,PF<1; OOS fail; pairs=15
20260220T150811Z_strat03rsibbmeanreversion-v3c_1h_top20-mr1h-effective,2026-02-20T15:08:11+00:00,Strat03RSIBBMeanReversion_v3c,1h,top20_mr1h_effective,20250301-20250630,13,-0.07351171399999998,0.6771212692904564,0.1854085009999949,success,WF6_TEST,,,,PF<1; OOS fail; pairs=19
20260220T153233Z_strat03rsibbmeanreversion-v3c_3h_top15-mr3h-effective,2026-02-20T15:32:33+00:00,Strat03RSIBBMeanReversion_v3c,3h,top15_mr3h_effective,20250101-20260201,0,0.0,,0.0,success,,,,,PF missing; pairs=13
20260220T153234Z_strat03rsibbmeanreversion-v3c_3h_top20-mr3h-effective,2026-02-20T15:32:34+00:00,Strat03RSIBBMeanReversion_v3c,3h,top20_mr3h_effective,20250101-20260201,0,0.0,,0.0,success,,,,,PF missing; pairs=14
20260220T153234Z_strat19volcompressionbreakout-3h-v1_3h_top15-mr3h-effective,2026-02-20T15:32:34+00:00,Strat19VolCompressionBreakout_3h_v1,3h,top15_mr3h_effective,20250101-20260201,0,0.0,,0.0,success,,,,,PF missing; pairs=13
20260220T154533Z_strat03rsibbmeanreversion-v3c_2h_top20-mr2h-effective,2026-02-20T15:45:33+00:00,Strat03RSIBBMeanReversion_v3c,2h,top20_mr2h_effective,20250101-20260201,23,-0.14666593699999997,0.7744153838948983,0.29785411000000295,success,,,,,PF<1; pairs=19
20260220T154539Z_strat03rsibbmeanreversion-v3c_4h_top15-mr4h-effective,2026-02-20T15:45:39+00:00,Strat03RSIBBMeanReversion_v3c,4h,top15_mr4h_effective,20250101-20260201,4,-0.07496954899999998,0.6018627655872661,0.12402985799999443,success,,,,,PF<1; pairs=13
20260220T154543Z_strat19volcompressionbreakout-4h-v1_4h_top15-mr4h-effective,2026-02-20T15:45:43+00:00,Strat19VolCompressionBreakout_4h_v1,4h,top15_mr4h_effective,20250101-20260201,142,1.1785968269999998,1.2663356817810072,0.9430846514807856,success,,,,,PF>1; pairs=13
20260220T154633Z_strat03rsibbmeanreversion-v3c_2h_top15-mr2h-effective,2026-02-20T15:46:33+00:00,Strat03RSIBBMeanReversion_v3c,2h,top15_mr2h_effective,20250101-20260201,19,-0.38678508600000006,0.4050918234648534,0.4667582390000007,success,,,,,PF<1; pairs=14
20260220T154633Z_strat03rsibbmeanreversion-v3c_4h_top20-mr4h-effective,2026-02-20T15:46:33+00:00,Strat03RSIBBMeanReversion_v3c,4h,top20_mr4h_effective,20250101-20260201,5,-0.17377489299999996,0.39473636153840636,0.17377489299999524,success,,,,,PF<1; pairs=17
20260220T160214Z_strat19volcompressionbreakout-4h-v1_4h_top15-mr4h-effective,2026-02-20T16:02:14+00:00,Strat19VolCompressionBreakout_4h_v1,4h,top15_mr4h_effective,20250701-20251031,66,1.6146716380000001,1.948988829234356,0.41718832155497443,success,WF4_TEST,,,,PF>1; OOS pass; pairs=13
20260220T160214Z_strat19volcompressionbreakout-4h-v1_4h_top15-mr4h-effective-fee-base,2026-02-20T16:02:14+00:00,Strat19VolCompressionBreakout_4h_v1,4h,top15_mr4h_effective_fee_base,20250101-20260201,142,1.1785968269999998,1.2663356817810072,0.9430846514807856,success,,,,,PF>1; pairs=13
20260220T160214Z_strat19volcompressionbreakout-4h-v1_4h_top15-mr4h-effective-fee50,2026-02-20T16:02:14+00:00,Strat19VolCompressionBreakout_4h_v1,4h,top15_mr4h_effective_fee50,20250101-20260201,142,0.867289316,1.18736822474059,1.0109554685746072,success,,,,,PF>1; pairs=13
20260220T160214Z_strat19volcompressionbreakout-4h-v1_4h_top15-mr4h-effective,2026-02-20T16:02:14+00:00,Strat19VolCompressionBreakout_4h_v1,4h,top15_mr4h_effective,20250101-20260201,142,1.1785968269999998,1.2663356817810072,0.9430846514807856,success,,,,,PF>1; pairs=13
20260220T160224Z_strat19volcompressionbreakout-4h-v1_4h_top15-mr4h-effective-wf4,2026-02-20T16:02:24+00:00,Strat19VolCompressionBreakout_4h_v1,4h,top15_mr4h_effective_wf4,20250701-20251031,66,1.6146716380000001,1.948988829234356,0.41718832155497443,success,WF4_TEST,,,,PF>1; OOS pass; pairs=13
20260220T160710Z_strat20donchianregimepullback-4h-v1_4h_top15-mr4h-effective,2026-02-20T16:07:10+00:00,Strat20DonchianRegimePullback_4h_v1,4h,top15_mr4h_effective,20250101-20260201,259,-3.8614557429999996,0.5957520961038163,4.165302690159025,success,,,,,PF<1; pairs=13
20260220T161205Z_strat21emaregimereclaim-4h-v1_4h_top15-mr4h-effective,2026-02-20T16:12:05+00:00,Strat21EMARegimeReclaim_4h_v1,4h,top15_mr4h_effective,20250101-20260201,135,-1.5777451799999997,0.6447204755768251,1.6187286709999966,success,,,,,PF<1; pairs=13
20260220T161637Z_strat19volcompressionbreakout-4h-v1_4h_top10-mr4h-effective-refresh,2026-02-20T16:16:37+00:00,Strat19VolCompressionBreakout_4h_v1,4h,top10_mr4h_effective_refresh,20250101-20260201,107,0.6585819990000001,1.2440057919280956,0.8228074751952739,success,,,,,PF>1; pairs=9
20260220T161637Z_strat19volcompressionbreakout-4h-v1_4h_top20-mr4h-effective-refresh,2026-02-20T16:16:37+00:00,Strat19VolCompressionBreakout_4h_v1,4h,top20_mr4h_effective_refresh,20250101-20260201,157,0.46406330199999973,1.0817094877574038,1.3581098089999954,success,,,,,PF>1; pairs=17
20260220T161637Z_strat19volcompressionbreakout-4h-v1_4h_top15-mr4h-effective-refresh,2026-02-20T16:16:37+00:00,Strat19VolCompressionBreakout_4h_v1,4h,top15_mr4h_effective_refresh,20250101-20260201,142,1.1785968269999998,1.2663356817810072,0.9430846514807856,success,,,,,PF>1; pairs=13
20260220T161648Z_strat19volcompressionbreakout-4h-v1_4h_top15-mr4h-effective-wf4-refresh,2026-02-20T16:16:48+00:00,Strat19VolCompressionBreakout_4h_v1,4h,top15_mr4h_effective_wf4_refresh,20250701-20251031,66,1.6146716380000001,1.948988829234356,0.41718832155497443,success,WF4_TEST,,,,PF>1; OOS pass; pairs=13
20260220T161648Z_strat19volcompressionbreakout-4h-v1_4h_top10-mr4h-effective-wf4-refresh,2026-02-20T16:16:48+00:00,Strat19VolCompressionBreakout_4h_v1,4h,top10_mr4h_effective_wf4_refresh,20250701-20251031,49,1.081958006,2.0161971154264338,0.2981537679402652,success,WF4_TEST,,,,PF>1; OOS pass; pairs=9
20260220T161648Z_strat19volcompressionbreakout-4h-v1_4h_top15-mr4h-effective-fee50-refresh,2026-02-20T16:16:48+00:00,Strat19VolCompressionBreakout_4h_v1,4h,top15_mr4h_effective_fee50_refresh,20250101-20260201,142,0.867289316,1.18736822474059,1.0109554685746072,success,,,,,PF>1; pairs=13
20260220T163146Z_strat22trendreclaim-1h-v1_1h_top15-mr1h-effective,2026-02-20T16:31:46+00:00,Strat22TrendReclaim_1h_v1,1h,top15_mr1h_effective,20250101-20260201,964,-9.514306576,0.5015985003174983,9.614693423483079,success,,,,,PF<1; pairs=15
20260220T165606Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective,2026-02-20T16:56:06+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective,20250101-20260201,27,0.18315285199999998,1.5490820965293062,0.24595993499999624,success,,strat03_v3c_spec,100.0,ROBUST_CANDIDATE,PF>1 low trades; pairs=15
20260220T171810Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective-wf-a-ext,2026-02-20T17:18:10+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective_WF_A_EXT,20250601-20250930,5,0.134363751,3.949693628775965,0.045551765000004706,success,WF_A_TEST,,,,PF>1 low trades; OOS pass; pairs=15
20260220T171810Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective-wf-b-ext,2026-02-20T17:18:10+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective_WF_B_EXT,20250901-20251231,5,0.16124438000000002,8.58190529928998,0.02125138114696654,success,WF_B_TEST,,,,PF>1 low trades; OOS pass; pairs=15
20260220T171810Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective-wf-c-ext,2026-02-20T17:18:10+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective_WF_C_EXT,20251101-20260201,2,0.11905208599999999,0.0,0.0,success,WF_C_TEST,,,,PF<1; OOS fail; pairs=15
20260220T171810Z_strat19volcompressionbreakout-4h-v1_4h_top10-mr4h-effective-wf-a-ext,2026-02-20T17:18:10+00:00,Strat19VolCompressionBreakout_4h_v1,4h,top10_mr4h_effective_WF_A_EXT,20250601-20250930,58,0.7752974570000001,1.533201096230938,0.5221683220000045,success,WF_A_TEST,,,,PF>1; OOS pass; pairs=9
20260220T171810Z_strat19volcompressionbreakout-4h-v1_4h_top10-mr4h-effective-wf-b-ext,2026-02-20T17:18:10+00:00,Strat19VolCompressionBreakout_4h_v1,4h,top10_mr4h_effective_WF_B_EXT,20250901-20251231,17,0.040835252,1.1027153293167204,0.152887439999995,success,WF_B_TEST,,,,PF>1 low trades; OOS pass; pairs=9
20260220T171811Z_strat19volcompressionbreakout-4h-v1_4h_top15-mr4h-effective-wf-a-ext,2026-02-20T17:18:11+00:00,Strat19VolCompressionBreakout_4h_v1,4h,top15_mr4h_effective_WF_A_EXT,20250601-20250930,71,1.151254972,1.5820401865098959,0.432157030999997,success,WF_A_TEST,,,,PF>1; OOS pass; pairs=13
20260220T171811Z_strat19volcompressionbreakout-4h-v1_4h_top15-mr4h-effective-wf-b-ext,2026-02-20T17:18:11+00:00,Strat19VolCompressionBreakout_4h_v1,4h,top15_mr4h_effective_WF_B_EXT,20250901-20251231,31,0.688387593,1.8322003391645014,0.34069375111913525,success,WF_B_TEST,,,,PF>1; OOS pass; pairs=13
20260220T173616Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective-wf-d-ext,2026-02-20T17:36:16+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective_WF_D_EXT,20250101-20250430,13,-0.21143572300000002,0.1403651858990774,0.24595993499999624,success,WF_D_TEST,,,,PF<1; OOS fail; pairs=15
20260220T173616Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective-wf-e-ext,2026-02-20T17:36:16+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective_WF_E_EXT,20250401-20250731,12,0.073494751,1.5224435567293062,0.0743400700000052,success,WF_E_TEST,,,,PF>1 low trades; OOS pass; pairs=15
20260220T173616Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective-wf-f-ext,2026-02-20T17:36:16+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective_WF_F_EXT,20250701-20251031,8,0.149674919,2.595281649405836,0.0725565070000016,success,WF_F_TEST,,,,PF>1 low trades; OOS pass; pairs=15
20260220T174750Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective-fee-base-20260220,2026-02-20T17:47:50+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective_fee_base_20260220,20250101-20260201,27,0.18315285199999998,1.5490820965293062,0.24595993499999624,success,,,,,PF>1 low trades; pairs=15
20260220T174750Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective-fee-p25-20260220,2026-02-20T17:47:50+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective_fee_p25_20260220,20250101-20260201,27,0.15344450899999998,1.4275834249224542,0.2638488339999981,success,,,,,PF>1 low trades; pairs=15
20260220T174750Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective-fee-p50-20260220,2026-02-20T17:47:50+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective_fee_p50_20260220,20250101-20260201,27,0.025078504,1.0648121831823227,0.28173773400000074,success,,,,,PF>1 low trades; pairs=15
20260220T174750Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective-fee-p75-20260220,2026-02-20T17:47:50+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective_fee_p75_20260220,20250101-20260201,27,-0.007642489000000002,0.9815285186028728,0.2996266340000034,success,,,,,PF<1; pairs=15
20260220T174750Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective-fee-p100-20260220,2026-02-20T17:47:50+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective_fee_p100_20260220,20250101-20260201,27,-0.040363484000000005,0.9083792184595672,0.31751553300000523,success,,,,,PF<1; pairs=15
20260220T175456Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective-wf-g-ext,2026-02-20T17:54:56+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective_WF_G_EXT,20250115-20250515,13,-0.181571064,0.1597638441665888,0.20622255299999778,success,WF_G_TEST,,,,PF<1; OOS fail; pairs=15
20260220T175457Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective-wf-h-ext,2026-02-20T17:54:57+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective_WF_H_EXT,20250215-20250615,12,-0.018656114000000005,0.89204907529222,0.13055290099999864,success,WF_H_TEST,,,,PF<1; OOS fail; pairs=15
20260220T175457Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective-wf-i-ext,2026-02-20T17:54:57+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective_WF_I_EXT,20250315-20250715,10,0.03755671700000001,1.3220780705391193,0.0743400700000052,success,WF_I_TEST,,,,PF>1 low trades; OOS pass; pairs=15
20260220T175457Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective-wf-j-ext,2026-02-20T17:54:57+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective_WF_J_EXT,20250415-20250815,12,0.064986465,1.4356148982446717,0.08284835599999951,success,WF_J_TEST,,,,PF>1 low trades; OOS pass; pairs=15
